[06:14:00] ====================================
[06:14:00] Dumping class: PlayerManager
[06:14:00] ====================================
[06:14:00] get_local_cocaine_damage_absorption_max (function)
[06:14:00] get_player_rule (function)
[06:14:00] get_peer_cocaine_damage_absorption_ratio (function)
[06:14:00] weapon_in_slot (function)
[06:14:00] get_my_carry_data (function)
[06:14:00] get_accuracy_multiplier (function)
[06:14:00] crew_ai_flashbang_unit_loaded (function)
[06:14:00] selected_equipment_name (function)
[06:14:00] stockholm_syndrome_count (function)
[06:14:00] set_carry_approved (function)
[06:14:00] disable_cooldown_upgrade (function)
[06:14:00] _set_equipment_waiting_for_response (function)
[06:14:00] warp_to (function)
[06:14:00] add_to_crit_mul (function)
[06:14:00] equipment_slots (function)
[06:14:00] activate_temporary_upgrade (function)
[06:14:00] messiah_charges (function)
[06:14:00] set_property (function)
[06:14:00] get_custom_cooldown_left (function)
[06:14:00] reset_minions (function)
[06:14:00] weapon_upgrade_progress (function)
[06:14:00] update_cocaine_hud (function)
[06:14:00] crew_ai_cable_ties (function)
[06:14:00] get_skill_money_multiplier (function)
[06:14:00] upgrade_value_by_level (function)
[06:14:00] toolset_value (function)
[06:14:00] remove_modifier (function)
[06:14:00] set_player_rule (function)
[06:14:00] __index (table)
[06:14:00] modify_value (function)
[06:14:00] has_deployable_been_used (function)
[06:14:00] register_carry (function)
[06:14:00] player_states (function)
[06:14:00] load (function)
[06:14:00] aquire_upgrade (function)
[06:14:00] mul_melee_damage (function)
[06:14:00] critical_hit_chance (function)
[06:14:00] _dodge_shot_gain (function)
[06:14:00] _get_damage_health_ratio_threshold (function)
[06:14:00] sync_exit_vehicle (function)
[06:14:00] new (function)
[06:14:00] get_equipment_amount (function)
[06:14:00] on_headshot_dealt (function)
[06:14:00] spawn_players (function)
[06:14:00] set_equipment_amount (function)
[06:14:00] body_armor_regen_multiplier (function)
[06:14:00] remove_property (function)
[06:14:00] _internal_load (function)
[06:14:00] can_use_selected_equipment (function)
[06:14:00] on_enter_custody (function)
[06:14:00] count_up_player_minions (function)
[06:14:00] clear_carry (function)
[06:14:00] remove_listener (function)
[06:14:00] on_lethal_headshot_dealt (function)
[06:14:00] _set_grenade (function)
[06:14:00] get_content_update_viewed (function)
[06:14:00] setup_viewports (function)
[06:14:00] get_best_cocaine_damage_absorption (function)
[06:14:00] update_ammo_info_to_peer (function)
[06:14:00] player_unit (function)
[06:14:00] start_custom_cooldown (function)
[06:14:00] spawn_smoke_screen (function)
[06:14:00] chk_store_armor_health_kill_counter (function)
[06:14:00] get_synced_equipment_possession (function)
[06:14:00] set_content_update_viewed (function)
[06:14:00] get_max_grenades (function)
[06:14:00] update_deployable_equipment_amount_to_peers (function)
[06:14:00] selected_equipment_deploy_timer (function)
[06:14:00] sub_from_crit_mul (function)
[06:14:00] start_timer (function)
[06:14:00] update_husk_bipod_to_peer (function)
[06:14:00] stamina_addend (function)
[06:14:00] set_synced_equipment_possession (function)
[06:14:00] on_damage_dealt (function)
[06:14:00] has_equipment (function)
[06:14:00] from_server_equipment_place_result (function)
[06:14:00] unaquire_equipment (function)
[06:14:00] _on_enter_shock_and_awe_event (function)
[06:14:00] speed_up_grenade_cooldown (function)
[06:14:00] get_value_from_risk_upgrade (function)
[06:14:00] add_listener (function)
[06:14:00] is_berserker (function)
[06:14:00] _on_grenade_cooldown_end (function)
[06:14:00] availible_equipment (function)
[06:14:00] verify_carry (function)
[06:14:00] change_player_look (function)
[06:14:00] alt_hud_ammo_setting_changed (function)
[06:14:00] equipment_in_slot (function)
[06:14:00] add_equipment (function)
[06:14:00] update_cable_ties_to_peer (function)
[06:14:00] cooldown_upgrade_value (function)
[06:14:00] selected_equipment_sound_done (function)
[06:14:00] _on_activate_aggressive_reload_event (function)
[06:14:00] update_equipment_possession_to_peer (function)
[06:14:00] aquire_grenade (function)
[06:14:00] force_end_copr_ability (function)
[06:14:00] add_modifier (function)
[06:14:00] update_team_upgrades_to_peers (function)
[06:14:00] on_sole_criminal_respawned (function)
[06:14:00] _setup (function)
[06:14:00] need_send_player_status (function)
[06:14:00] get_player_turret_for_peer (function)
[06:14:00] stamina_multiplier (function)
[06:14:00] equipped_upgrade_value (function)
[06:14:00] update_removed_synced_carry_to_peers (function)
[06:14:00] add_synced_team_upgrade (function)
[06:14:00] force_drop_carry (function)
[06:14:00] has_deployable_left (function)
[06:14:00] get_activate_temporary_expire_time (function)
[06:14:00] spread_multiplier (function)
[06:14:00] update_team_upgrades_to_peer (function)
[06:14:00] clear_timers (function)
[06:14:00] get_local_player_turret (function)
[06:14:00] use_selected_equipment (function)
[06:14:00] movement_speed_multiplier (function)
[06:14:00] equipment_slot (function)
[06:14:00] unaquire_team_upgrade (function)
[06:14:00] equipped_weapon_index (function)
[06:14:00] current_carry_id (function)
[06:14:00] check_selected_equipment_placement_valid (function)
[06:14:00] check_skills (function)
[06:14:00] select_previous_item (function)
[06:14:00] inspect_current_upgrades (function)
[06:14:00] upgrade_value (function)
[06:14:00] _verify_loaded_data (function)
[06:14:00] replenish_grenades (function)
[06:14:00] _update_damage_dealt (function)
[06:14:00] set_synced_player_turret (function)
[06:14:00] aquire_melee_weapon (function)
[06:14:00] consumable_upgrade_value (function)
[06:14:00] _check_damage_to_cops (function)
[06:14:00] is_damage_health_ratio_active (function)
[06:14:00] equiptment_upgrade_value (function)
[06:14:00] has_active_timer (function)
